Name,Year,Location,Vendeur,Owner_type,Kilometers_Driven,Fuel_Type,Transmission,Puissance_fiscale,Puissance_dynamique,Price
VOLKSWAGEN CC 2018,2018,Kénitra,Particulier,Première,110.000 km,Diesel,Manuelle,8 cv ,140 ch ,195.000 DH
OPEL Astra 2018,2018,Fès,Particulier,Première,113.000 km,Diesel,Manuelle,6 cv ,136 ch ,155.000 DH
HYUNDAI Accent 2018,2018,Meknès,Particulier,Seconde,80.000 km,Diesel,Manuelle,6 cv ,136 ch ,125.000 DH
FORD Kuga 2019,2019,Fès,Particulier,Première,81.000 km,Diesel,Manuelle,6 cv ,120 ch ,193.000 DH
VOLKSWAGEN T-Roc 2021,2021,Fès,Particulier,Seconde,111.000 km,Diesel,Automatique,8 cv ,143 ch ,310.000 DH
RENAULT Mégane 2016,2016,Agadir,Particulier,Première,120.000 km,Diesel,Manuelle,6 cv ,115 ch ,125.000 DH
HYUNDAI Creta 2016,2016,Fès,Particulier,Seconde,120.000 km,Diesel,Manuelle,6 cv ,90 ch ,172.000 DH
MERCEDES Classe A 2015,2015,Kénitra,Particulier,Seconde,124.000 km,Diesel,Automatique,6 cv ,109 ch ,172.000 DH
RENAULT Captur 2020,2020,Marrakech,Particulier,Seconde,26.500 km,Diesel,Manuelle,6 cv ,116 ch ,150.000 DH
DACIA Sandero 2021,2021,Tanger,Particulier,Première,30.000 km,Diesel,Manuelle,6 cv ,85 ch ,140.000 DH
SKODA Karoq 2021,2021,Safi,Particulier,Première,34.000 km,Diesel,Automatique,8 cv ,143 ch ,280.000 DH
BMW Série 1 2018,2018,Casablanca,Particulier,Première,61.000 km,Diesel,Automatique,6 cv ,115 ch ,250.000 DH
TOYOTA Corolla Berline 2005,2005,Temara,Particulier,Seconde,288.000 km,Diesel,Manuelle,8 cv ,90 ch ,60.000 DH
PEUGEOT 208 2016,2016,Casablanca,Particulier,Première,105.000 km,Essence,Manuelle,7 cv ,70 ch ,92.000 DH
CITROEN C5 2013,2013,Temara,Particulier,Seconde,200.000 km,Diesel,Manuelle,6 cv ,115 ch ,84.000 DH
VOLKSWAGEN Arteon 2019,2019,Casablanca,Particulier,Première,81.000 km,Diesel,Manuelle,8 cv ,150 ch ,320.000 DH
FORD Fiesta 2016,2016,Tan-Tan,Particulier,Seconde,1.950.000 km,Essence,Manuelle,7 cv ,- ,82.000 DH
FIAT 500 2019,2019,Casablanca,Particulier,Première,15.000 km,Essence,Automatique,6 cv ,69 ch ,140.000 DH
RENAULT Mégane 2018,2018,Casablanca,Particulier,Seconde,64.200 km,Diesel,Automatique,6 cv ,110 ch ,189.000 DH
SEAT Leon 2016,2016,Agadir,Particulier,Seconde,69.000 km,Diesel,Manuelle,8 cv ,143 ch ,175.000 DH
VOLVO XC60 2019,2019,Casablanca,Particulier,Première,65.000 km,Diesel,Automatique,8 cv ,190 ch ,330.000 DH
VOLKSWAGEN Tiguan 2018,2018,Agadir,Particulier,Seconde,113.300 km,Diesel,Automatique,8 cv ,150 ch ,384.000 DH
VOLKSWAGEN Tiguan 2018,2018,Casablanca,Particulier,Seconde,80.000 km,Diesel,Manuelle,8 cv ,150 ch ,260.000 DH
AUDI A6 2016,2016,Casablanca,Particulier,Première,81.000 km,Diesel,Manuelle,8 cv ,245 ch ,355.000 DH
CITROEN C5 2023,2023,Rabat,Particulier,Première,265.000 km,Diesel,Manuelle,8 cv ,8 ch ,75.000 DH
VOLKSWAGEN Golf 2018,2018,Kénitra,Particulier,Première,84.500 km,Diesel,Automatique,8 cv ,150 ch ,178.000 DH
KIA Sportage 2021,2021,Ouarzazate,Particulier,Première,26.000 km,Diesel,Manuelle,6 cv ,115 ch ,250.000 DH
HYUNDAI Accent 2022,2022,Casablanca,Particulier,Première,24.000 km,Diesel,Automatique,6 cv ,115 ch ,172.000 DH
JEEP Compass 2021,2021,Benslimane,Particulier,Première,42.000 km,Diesel,Automatique,6 cv ,120 ch ,240.000 DH
HYUNDAI i20 2022,2022,Rabat,Particulier,Première,15.000 km,Essence,Automatique,8 cv ,100 ch ,178.000 DH
FIAT Punto 1998,1998,Casablanca,Particulier,Seconde,281.000 km,Diesel,Automatique,7 cv ,- ,25.000 DH
FIAT Punto 2018,2018,Casablanca,Particulier,Seconde,151.000 km,Diesel,Automatique,- ,- ,79.000 DH
DACIA Sandero 2015,2015,Marrakech,Particulier,Première,90.000 km,Diesel,Manuelle,6 cv ,85 ch ,72.000 DH
MERCEDES Classe E 1998,1998,Salé,Particulier,Seconde,1.000 km,Diesel,Automatique,10 cv ,90 ch ,35.000 DH
VOLKSWAGEN Tiguan 2014,2014,Kénitra,Particulier,Seconde,157.000 km,Diesel,Automatique,8 cv ,150 ch ,173.000 DH
VOLKSWAGEN Passat 2018,2018,Casablanca,Particulier,Première,105.000 km,Diesel,Automatique,8 cv ,110 ch ,190.000 DH
AUDI A6 2018,2018,Agadir,Particulier,Première,73.000 km,Diesel,Automatique,8 cv ,190 ch ,280.000 DH
CHERY Tiggo 2 Pro 2023,2023,Casablanca,Particulier,Première,4.500 km,Essence,Manuelle,7 cv ,109 ch ,155.000 DH
HYUNDAI Elantra 2020,2020,Salé,Particulier,Première,80.100 km,Diesel,Manuelle,6 cv ,136 ch ,159.000 DH
TOYOTA RAV 4 2020,2020,Casablanca,Particulier,Première,115.000 km,Hybride,Automatique,14 cv ,218 ch ,285.000 DH
VOLKSWAGEN CC 2017,2017,Salé,Particulier,Première,195.000 km,Diesel,Automatique,8 cv ,140 ch ,190.000 DH
PEUGEOT 208 2018,2018,Casablanca,Particulier,Première,51.100 km,Diesel,Manuelle,6 cv ,92 ch ,120.000 DH
FORD Kuga 2011,2011,Rabat,Particulier,Première,160.000 km,Diesel,Manuelle,8 cv ,140 ch ,122.000 DH
TOYOTA Corolla Sport 2020,2020,Fès,Particulier,Première,118.000 km,Hybride,Manuelle,9 cv ,122 ch ,190.000 DH
OPEL Astra 2014,2014,Fès,Particulier,Seconde,93.000 km,Diesel,Automatique,8 cv ,125 ch ,135.000 DH
FORD Kuga 2015,2015,Rabat,Particulier,Seconde,110.000 km,Diesel,Manuelle,8 cv ,- ,155.000 DH
MAHINDRA KUV 100 2019,2019,Casablanca,Particulier,Première,58.000 km,Diesel,Manuelle,5 cv ,75 ch ,101.000 DH
HYUNDAI Accent 2016,2016,Casablanca,Particulier,Seconde,142.000 km,Diesel,Automatique,6 cv ,136 ch ,122.000 DH
MERCEDES Classe A 2019,2019,Casablanca,Particulier,Première,80.000 km,Diesel,Manuelle,- ,- ,305.000 DH
